id,who,date,area,post_code,gps,lat,lon,name,value,urls,stub,"Apple, crab(Malus sylvestris)","Birch, downy(Betula pubescens)","Birch, silver(Betula pendula)",Blackthorn(Prunus spinosa),Dogwood(Cornus sanguinea),Elder(Sambucus nigra),"Guelder, rose(Viburnum opulus)",Hazel(Corylus avellana),"Maple, field(Acer campestre)","Oak, english(Quercus robur)","Oak, sessile(Quercus petraea)","Willow, goat(Salix caprea)",Alder(Alnus glutinosa),"Cherry, bird(Prunus padus)","Cherry, wild(Prunus avium)",Common privet(Ligustrum vulgare),"Elm, wych(Ulmus glabra)",Hawthorn(Crataegus monogyna),Hornbeam(Carpinus betulus),"Lime, large-leaved(Tilia platyphyllos)","Lime, small-leaved(Tilia cordata)",Rowan(Sorbus aucuparia),Spindle(Euonymus europaea),Wild service tree(Sorbus torminalis),"Beech, common(Fagus sylvatica)",Dog Rose(Rosa canina),Wayfaring tree(Viburnum lantana),Whitebeam(Sorbus aria),Bilberry(Vaccinium myrtillus),Heather(Calluna vulgaris),Holly(Ilex aquifolium),Juniper(Juniperus communis),"Pine, scots(Pinus sylvestris)","Willow, grey(Salix cinerea subsp. Oleifolia)",Broom(Cytisus scoparius),Gorse(Ulex europaeus),"Buckthorn, purging(Rhamnus cathartica)","Pear, common(Pyrus communis)",Aspen(Populus tremula),Alder buckthorn(Frangula alnus),"Alder, grey(Alnus incana)","Alder, red(Alnus rubra)","Hawthorn, midland(Crataegus laevigata)","Willow, common osier(Salix viminalis)",Cherry Plum(Prunus cerasifera),Sea-buckthorn(Hippophae rhamnoides),Wild rasperry(Rubus idaeus),Common walnut (Juglans regia),Sweet chestnut(Castanea sativa),"Willow, eared(Salix aurita)"
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,207,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,30,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,201,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,2,/tiny-forest-sites/8-tiny-forest/86-foxwell-drive-oxford,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/86-foxwell-drive-oxford,86-foxwell-drive-oxford,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,16,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,2,/tiny-forest-sites/8-tiny-forest/86-foxwell-drive-oxford,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/86-foxwell-drive-oxford,86-foxwell-drive-oxford,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Volunteer Group,2021-02-04,205,BS10 5PX,"51.500278, -2.600333",51.500278,-2.600333,4,/tiny-forest-sites/8-tiny-forest/88-trym-valley-bristol,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/88-trym-valley-bristol,88-trym-valley-bristol,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Volunteer Group,2021-02-04,23,BS10 5PX,"51.500278, -2.600333",51.500278,-2.600333,4,/tiny-forest-sites/8-tiny-forest/88-trym-valley-bristol,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/88-trym-valley-bristol,88-trym-valley-bristol,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"Volunteer Group, Local Residents, School Children",2021-10-21,149,G51 2AS,"55.859900,-4.303606",55.8599,-4.303606,20,/tiny-forest-sites/8-tiny-forest/132-vicarfield-street-govan,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/132-vicarfield-street-govan,132-vicarfield-street-govan,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"Volunteer Group, Local Residents",2021-10-22,155,G51 2DB,"55.860518,-4.308922",55.860518,-4.308922,21,/tiny-forest-sites/8-tiny-forest/133-orkney-road-govan,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/133-orkney-road-govan,133-orkney-road-govan,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,"Volunteer Group, Local Residents",2021-10-18,138,G1 5DB,"55.852919,-4.246042",55.852919,-4.246042,22,/tiny-forest-sites/8-tiny-forest/134-glasgow-green-glasgow,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/134-glasgow-green-glasgow,134-glasgow-green-glasgow,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"Volunteer Group, Local Residents",2021-10-19,207,G41 4LG,"55.838286,-4.289215",55.838286,-4.2892150000000004,23,/tiny-forest-sites/8-tiny-forest/135-maxwell-park-glasgow,https://tinyforest.earthwatch.org.uk/tiny-forest-sites/8-tiny-forest/135-maxwell-park-glasgow,135-maxwell-park-glasgow,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
